Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_TP_ctg_Prob_N14,User_2_TP_ctg_Prob_N14,User_4_TP_ctg_Prob_N14,User_5_TP_ctg_Prob_N14,User_6_TP_ctg_Prob_N14,User_7_TP_ctg_Prob_N14,User_9_TP_ctg_Prob_N14,User_10_TP_ctg_Prob_N14,User_12_TP_ctg_Prob_N14,User_13_TP_ctg_Prob_N14,User_14_TP_ctg_Prob_N14,User_16_TP_ctg_Prob_N14,User_17_TP_ctg_Prob_N14,User_18_TP_ctg_Prob_N14,User_19_TP_ctg_Prob_N14,User_20_TP_ctg_Prob_N14,User_21_TP_ctg_Prob_N14,User_22_TP_ctg_Prob_N14,User_23_TP_ctg_Prob_N14,User_24_TP_ctg_Prob_N14,User_25_TP_ctg_Prob_N14,User_26_TP_ctg_Prob_N14
24.0,2,0.58,50,24.0,20.37657244,0.34583855,0.71362644,0.075442985,0.42720404,0.5144679,0.9596451,0.3830286,0.7737239,0.3621411,0.4134119,0.9483328,0.34249663,0.9914148,0.37236878,0.30118933,0.53640383,0.39081034,0.00036019032,0.90944,0.5389013,0.7744861,0.1637094
24.0,3,0.94,50,24.0,19.39805314,0.23633258,0.70519394,0.011691949,0.16279511,0.86318105,0.95901114,0.04273373,0.4448297,0.2236646,0.2880018,0.8955819,0.20830177,0.99778104,0.18220986,0.5368581,0.6401722,0.3262162,9.419352e-06,0.85656995,0.21793151,0.4906622,0.1807015
24.0,4,1.37,50,24.0,18.66690566,0.3034652,0.7306516,8.76632e-06,0.20704253,0.9782806,0.9852524,0.0042786207,0.5775588,0.21059807,0.40471387,0.92312664,0.20103334,0.9914182,0.24210863,0.21922068,0.13578728,0.574625,1.0270695e-05,0.7436297,0.24350135,0.5144307,0.15693389
24.0,5,1.87,50,24.0,18.09189818,0.054088652,0.14552842,6.902538e-13,0.0037965893,0.33306482,0.9991987,0.839221,0.65238553,0.031213248,0.1472175,0.7176228,0.017271021,0.18188798,0.07158505,0.01227288,0.0007659155,0.73461527,0.0057583526,0.45197642,0.3469738,0.31944388,0.3105609
24.5,0,0.07,50,24.5,22.9939457,0.33288696,0.4472178,0.025237262,0.6311529,0.34947705,0.4391875,0.5934554,0.3014563,0.3290066,0.36215103,0.61787593,0.31888297,0.38558832,0.2905492,0.3220373,0.35526657,0.39192677,0.6559314,0.4570074,0.5387223,0.53596336,0.44228873
24.5,1,0.29,50,24.5,22.33087837,0.42926216,0.4762198,0.017044256,0.6016497,0.47659612,0.7126395,0.6338253,0.9587427,0.39301574,0.4108263,0.85868865,0.3781298,0.887239,0.43166748,0.29819655,0.3231242,0.5324729,0.12168684,0.61475307,0.6137259,0.7731487,0.36269152
24.5,2,0.58,50,24.5,20.92809918,0.3926628,0.37542427,0.054408457,0.31714123,0.40992627,0.8350871,0.70694494,0.9190572,0.38614938,0.41467962,0.72928005,0.37845954,0.9196241,0.2100573,0.29539487,0.28548273,0.47289863,0.0013290424,0.859405,0.58907056,0.5079934,0.1149343
24.5,3,0.94,50,24.5,19.97450335,0.2764832,0.5962238,0.0003384448,0.0971963,0.54793215,0.96463066,0.20099646,0.43764636,0.18253398,0.23817189,0.79430264,0.19835067,0.9904599,0.14533369,0.32313344,0.59371895,0.37290585,7.5459648e-06,0.7926707,0.20553635,0.30310965,0.12281885
24.5,4,1.37,50,24.5,19.26493094,0.17110617,0.6236813,1.003648e-06,0.06744481,0.8026543,0.9913547,0.034417644,0.6161416,0.063308515,0.169048,0.913233,0.051751424,0.6163962,0.1575106,0.046448216,0.009187795,0.595913,1.1986741e-05,0.6161173,0.26011667,0.36909148,0.18900208
24.5,5,1.87,50,24.5,18.70872402,0.038887057,0.37135348,5.7772454e-15,0.0034466458,0.293777,0.9995699,0.9898184,0.6754255,0.015347929,0.10633072,0.6273027,0.009747262,0.25050017,0.076339595,0.03762749,9.404519e-05,0.8684285,0.02315598,0.42176542,0.33942166,0.31680918,0.5161996
25.0,0,0.07,50,25.0,23.50502761,0.33630827,0.4519141,0.010943405,0.63155705,0.32459185,0.46500286,0.67551255,0.23935379,0.3234065,0.36375508,0.5280304,0.30924505,0.34731928,0.2679089,0.26758894,0.37808523,0.41535047,0.60799974,0.46217993,0.42272842,0.4456266,0.48346296
25.0,1,0.29,50,25.0,22.82771733,0.39578533,0.83446884,0.010795412,0.33530307,0.36861405,0.874476,0.80120045,0.9651883,0.35604462,0.35090554,0.7613055,0.3347796,0.80824345,0.30154803,0.29499587,0.44596252,0.5025954,0.595167,0.5752394,0.51567274,0.77087814,0.7565399
25.0,2,0.58,50,25.0,21.472584,0.39152732,0.45184827,0.029491415,0.41538087,0.3773335,0.81789595,0.8980437,0.9798606,0.37342942,0.40079632,0.5389258,0.3652934,0.66739136,0.1754718,0.36073598,0.28342247,0.48584625,0.014364692,0.5411726,0.544102,0.59192437,0.30464432
25.0,3,0.94,50,25.0,20.54250534,0.20982456,0.42287126,0.000334159,0.07779696,0.26567203,0.975307,0.936191,0.77488583,0.19549678,0.23244399,0.6389052,0.14314325,0.6567516,0.13316108,0.23681009,0.28488097,0.45856082,2.0601197e-05,0.7437882,0.22567832,0.38641062,0.11050492
25.0,4,1.37,50,25.0,19.85306467,0.066951215,0.47337523,2.0915206e-07,0.007931218,0.4547267,0.9976628,0.81715995,0.74284196,0.07441331,0.15542822,0.8389008,0.040043462,0.0779024,0.12958564,0.032591205,0.0002484943,0.71619797,5.1584193e-05,0.4999238,0.26027894,0.4027131,0.24988365
25.0,5,1.87,50,25.0,19.31450558,0.023669144,0.7415793,5.0073057e-17,0.0029171826,0.29336682,0.9997163,0.99041396,0.22266227,0.01193584,0.12203246,0.3641542,0.0044016866,0.29833886,0.1460949,0.18423653,1.3288137e-05,0.9567192,0.050201375,0.501946,0.31291214,0.32023177,0.7741663
25.5,0,0.07,50,25.5,24.01821575,0.29197553,0.36667004,0.0040659565,0.53528774,0.279601,0.44522297,0.5821019,0.15002729,0.2680341,0.32541174,0.505465,0.25907707,0.30807018,0.22584186,0.1117593,0.40467396,0.39981306,0.67887205,0.52043486,0.2845026,0.45957804,0.53213763
25.5,1,0.29,50,25.5,23.32694447,0.34759727,0.8754197,0.0053086043,0.2924136,0.32666925,0.8688469,0.81680703,0.9562137,0.34334636,0.2932122,0.68085486,0.32144472,0.6628631,0.21439488,0.32164994,0.45993933,0.4533931,0.7601363,0.70269805,0.37172,0.7203376,0.8119646
25.5,2,0.58,50,25.5,22.00896573,0.3645036,0.7023814,0.0037375633,0.30489516,0.33974972,0.8418233,0.9207298,0.9903067,0.34001517,0.30773723,0.5009125,0.34116563,0.44116512,0.13255297,0.37265098,0.27447394,0.4686626,0.07839659,0.3733488,0.5315321,0.65813917,0.65411377
25.5,3,0.94,50,25.5,21.10145941,0.25784716,0.31219766,0.0004936553,0.05337326,0.24535854,0.98637635,0.99150056,0.97155553,0.24001122,0.26284954,0.47731125,0.18176138,0.33113194,0.10314727,0.58627623,0.046822224,0.65022856,0.0007540102,0.6656266,0.252229,0.48413762,0.26165184
25.5,4,1.37,50,25.5,20.43102963,0.09789274,0.32886934,8.016023e-09,0.039601132,0.2598335,0.9985347,0.94925207,0.6611075,0.09334319,0.19703554,0.7457935,0.060436737,0.2046314,0.10476451,0.31877556,1.3930465e-05,0.8759918,0.0011414075,0.60799336,0.28494847,0.31610245,0.3667635
25.5,5,1.87,50,25.5,19.90867457,0.024956614,0.88732505,3.3529035e-17,0.0017406022,0.29618773,0.99985164,0.7739045,0.058928818,0.012110814,0.14291231,0.3397993,0.0045038075,0.34336758,0.21299934,0.5275348,3.204995e-06,0.98326415,0.07408174,0.78039217,0.38790515,0.34612927,0.8193973
26.0,0,0.07,50,26.0,24.53324108,0.17413549,0.2137656,0.0018752984,0.41874596,0.16551933,0.2795483,0.32331395,0.06413778,0.1646352,0.21665956,0.44891486,0.15081774,0.18482657,0.20168711,0.042130098,0.364086,0.32884857,0.71985,0.54609114,0.19518948,0.35317275,0.45639682
