Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_Predicted_TP_ctg_N20,User_2_Predicted_TP_ctg_N20,User_4_Predicted_TP_ctg_N20,User_5_Predicted_TP_ctg_N20,User_6_Predicted_TP_ctg_N20,User_7_Predicted_TP_ctg_N20,User_9_Predicted_TP_ctg_N20,User_10_Predicted_TP_ctg_N20,User_12_Predicted_TP_ctg_N20,User_13_Predicted_TP_ctg_N20,User_14_Predicted_TP_ctg_N20,User_16_Predicted_TP_ctg_N20,User_17_Predicted_TP_ctg_N20,User_18_Predicted_TP_ctg_N20,User_19_Predicted_TP_ctg_N20,User_20_Predicted_TP_ctg_N20,User_21_Predicted_TP_ctg_N20,User_22_Predicted_TP_ctg_N20,User_23_Predicted_TP_ctg_N20,User_24_Predicted_TP_ctg_N20,User_25_Predicted_TP_ctg_N20,User_26_Predicted_TP_ctg_N20
23.5,4,1.37,50,23.5,18.05962121,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0
23.5,5,1.87,50,23.5,17.46464671,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
24.0,0,0.07,50,24.0,22.4844195,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1
24.0,1,0.29,50,24.0,21.81924277,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0
24.0,2,0.58,50,24.0,20.37657244,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0
24.0,3,0.94,50,24.0,19.39805314,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0
24.0,4,1.37,50,24.0,18.66690566,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0
24.0,5,1.87,50,24.0,18.09189818,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
24.5,0,0.07,50,24.5,22.9939457,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
24.5,1,0.29,50,24.5,22.33087837,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1
24.5,2,0.58,50,24.5,20.92809918,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
24.5,3,0.94,50,24.5,19.97450335,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
24.5,4,1.37,50,24.5,19.26493094,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0
24.5,5,1.87,50,24.5,18.70872402,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
25.0,0,0.07,50,25.0,23.50502761,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
25.0,1,0.29,50,25.0,22.82771733,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1
25.0,2,0.58,50,25.0,21.472584,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
25.0,3,0.94,50,25.0,20.54250534,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
25.0,4,1.37,50,25.0,19.85306467,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
25.0,5,1.87,50,25.0,19.31450558,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
25.5,0,0.07,50,25.5,24.01821575,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
25.5,1,0.29,50,25.5,23.32694447,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1
25.5,2,0.58,50,25.5,22.00896573,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
25.5,3,0.94,50,25.5,21.10145941,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
25.5,4,1.37,50,25.5,20.43102963,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
25.5,5,1.87,50,25.5,19.90867457,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1
26.0,0,0.07,50,26.0,24.53324108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
26.0,1,0.29,50,26.0,23.82854459,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1
