Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Predicted_Acceptance_N4,User_3_Predicted_Acceptance_N4,User_5_Predicted_Acceptance_N4,User_6_Predicted_Acceptance_N4,User_7_Predicted_Acceptance_N4,User_9_Predicted_Acceptance_N4,User_12_Predicted_Acceptance_N4,User_13_Predicted_Acceptance_N4,User_14_Predicted_Acceptance_N4,User_16_Predicted_Acceptance_N4,User_17_Predicted_Acceptance_N4,User_18_Predicted_Acceptance_N4,User_19_Predicted_Acceptance_N4,User_20_Predicted_Acceptance_N4,User_23_Predicted_Acceptance_N4,User_24_Predicted_Acceptance_N4,User_25_Predicted_Acceptance_N4,User_26_Predicted_Acceptance_N4
23.5,5,1.87,50,23.5,17.46464671,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
24.0,0,0.07,50,24.0,22.4844195,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1
24.0,1,0.29,50,24.0,21.81924277,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
24.0,2,0.58,50,24.0,20.37657244,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
24.0,3,0.94,50,24.0,19.39805314,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
24.0,4,1.37,50,24.0,18.66690566,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1
24.0,5,1.87,50,24.0,18.09189818,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
24.5,0,0.07,50,24.5,22.9939457,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1
24.5,1,0.29,50,24.5,22.33087837,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
24.5,2,0.58,50,24.5,20.92809918,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
24.5,3,0.94,50,24.5,19.97450335,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
24.5,4,1.37,50,24.5,19.26493094,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1
24.5,5,1.87,50,24.5,18.70872402,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1
25.0,0,0.07,50,25.0,23.50502761,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0
25.0,1,0.29,50,25.0,22.82771733,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0
25.0,2,0.58,50,25.0,21.472584,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25.0,3,0.94,50,25.0,20.54250534,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
25.0,4,1.37,50,25.0,19.85306467,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1
25.0,5,1.87,50,25.0,19.31450558,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1
25.5,0,0.07,50,25.5,24.01821575,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1
25.5,1,0.29,50,25.5,23.32694447,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25.5,2,0.58,50,25.5,22.00896573,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25.5,3,0.94,50,25.5,21.10145941,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
25.5,4,1.37,50,25.5,20.43102963,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1
25.5,5,1.87,50,25.5,19.90867457,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1
26.0,0,0.07,50,26.0,24.53324108,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
26.0,1,0.29,50,26.0,23.82854459,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26.0,2,0.58,50,26.0,22.50092064,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26.0,3,0.94,50,26.0,21.65035065,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
26.0,4,1.37,50,26.0,20.99786431,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1
26.0,5,1.87,50,26.0,20.49091151,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1
26.5,0,0.07,50,26.5,25.04991076,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1
26.5,1,0.29,50,26.5,24.33221479,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
26.5,2,0.58,50,26.5,22.98664822,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1
26.5,3,0.94,50,26.5,22.18229568,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
26.5,4,1.37,50,26.5,21.55288998,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1
26.5,5,1.87,50,26.5,21.06032424,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1
27.0,0,0.07,50,27.0,25.56822788,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0
27.0,1,0.29,50,27.0,24.83819438,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0
27.0,2,0.58,50,27.0,23.47557613,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1
27.0,3,0.94,50,27.0,22.66082307,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
27.0,4,1.37,50,27.0,22.09444723,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
27.0,5,1.87,50,27.0,21.61614394,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1
27.5,0,0.07,50,27.5,26.08812818,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0
27.5,1,0.29,50,27.5,25.34640368,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0
27.5,2,0.58,50,27.5,23.96673525,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1
27.5,3,0.94,50,27.5,23.14744484,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1
27.5,4,1.37,50,27.5,22.57656696,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
27.5,5,1.87,50,27.5,22.14850264,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1
28.0,0,0.07,50,28.0,26.60971049,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0
28.0,1,0.29,50,28.0,25.85691342,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1
28.0,2,0.58,50,28.0,24.46093062,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1
28.0,3,0.94,50,28.0,23.63717371,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1
28.0,4,1.37,50,28.0,23.06578178,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1
28.0,5,1.87,50,28.0,22.63639023,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1
28.5,0,0.07,50,28.5,27.1328243,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1
28.5,1,0.29,50,28.5,26.36973027,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
28.5,2,0.58,50,28.5,24.95832753,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1
28.5,3,0.94,50,28.5,24.12964744,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1
28.5,4,1.37,50,28.5,23.55832286,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1
28.5,5,1.87,50,28.5,23.13027654,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1
29.0,0,0.07,50,29.0,27.65747353,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1
29.0,1,0.29,50,29.0,26.88486816,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0
29.0,2,0.58,50,29.0,25.45906194,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1
29.0,3,0.94,50,29.0,24.62575867,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1
29.0,4,1.37,50,29.0,24.05391538,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1
29.0,5,1.87,50,29.0,23.62757438,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1
29.5,0,0.07,50,29.5,28.1836337,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
29.5,1,0.29,50,29.5,27.40233952,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
29.5,2,0.58,50,29.5,25.96299109,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1
29.5,3,0.94,50,29.5,25.12550164,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1
29.5,4,1.37,50,29.5,24.55322284,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1
29.5,5,1.87,50,29.5,24.12835628,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1
30.0,0,0.07,50,30.0,28.71126182,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1
30.0,1,0.29,50,30.0,27.9221571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
30.0,2,0.58,50,30.0,26.47043557,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1
30.0,3,0.94,50,30.0,25.62904358,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1
30.0,4,1.37,50,30.0,25.05646889,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1
30.0,5,1.87,50,30.0,24.63294475,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1
