Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance_N12,User_3_Acceptance_N12,User_5_Acceptance_N12,User_6_Acceptance_N12,User_7_Acceptance_N12,User_9_Acceptance_N12,User_12_Acceptance_N12,User_13_Acceptance_N12,User_14_Acceptance_N12,User_16_Acceptance_N12,User_17_Acceptance_N12,User_18_Acceptance_N12,User_19_Acceptance_N12,User_20_Acceptance_N12,User_23_Acceptance_N12,User_24_Acceptance_N12,User_25_Acceptance_N12,User_26_Acceptance_N12
24.5,2,0.58,50,24.5,20.92809918,0.9512486,0.82803965,0.83408993,0.18481529,0.9983811,0.88001007,0.8287021,0.63995683,0.8599193,0.83275515,0.6542505,0.95102745,0.0019605423,0.32854337,0.6298158,0.067700095,0.93569505,0.93650347
24.5,3,0.94,50,24.5,19.97450335,0.97533864,0.8945418,0.87896645,0.2119827,0.99864775,0.9612542,0.88786346,0.79958946,0.919582,0.9216159,0.2491262,0.98529446,0.9894237,0.54208976,0.9622302,0.14435482,0.9559862,0.9556316
24.5,4,1.37,50,24.5,19.26493094,0.7871341,0.32835123,0.20094658,0.33773372,0.99864143,0.9077251,0.5355551,0.3978836,0.34772298,0.6933367,0.13298771,0.8882076,0.990421,0.6218865,0.96600616,0.020042293,0.66451395,0.525514
24.5,5,1.87,50,24.5,18.70872402,0.38412803,0.07528649,0.05968014,0.4136065,0.99828017,0.76863277,0.37887934,0.22842246,0.07967846,0.39405555,0.09468969,0.80956894,0.9877531,0.00229781,0.93830997,9.754848e-05,0.50120485,0.4131371
25.0,0,0.07,50,25.0,23.50502761,0.3384386,0.5379698,0.5721538,0.13976792,0.18609026,0.47800538,0.4776359,0.33765334,0.5295356,0.385393,0.44378462,0.42661762,0.01264265,0.049586132,0.4061157,0.15255773,0.17071678,0.22467056
25.0,1,0.29,50,25.0,22.82771733,0.23793504,0.63496745,0.850137,0.21005929,0.95300525,0.05114235,0.66984355,0.59724283,0.71495485,0.59386957,0.59543175,0.15295868,0.016474176,0.06272636,0.036643058,0.09360959,0.32414114,0.235385
25.0,2,0.58,50,25.0,21.472584,0.9478195,0.86800706,0.8837404,0.1583201,0.9987332,0.839557,0.8236188,0.5510816,0.90143687,0.75563115,0.7168318,0.9276981,0.001191348,0.23870759,0.6216777,0.02592781,0.95242894,0.954194
25.0,3,0.94,50,25.0,20.54250534,0.97787505,0.91784585,0.91314936,0.1585104,0.9987688,0.96205693,0.87607366,0.78659016,0.936655,0.91639674,0.3993953,0.9861293,0.9878774,0.46393374,0.9589591,0.082170956,0.9524488,0.9531676
25.0,4,1.37,50,25.0,19.85306467,0.81540996,0.36123168,0.23681143,0.26851398,0.99861366,0.9132165,0.54794544,0.3929803,0.36603078,0.73858345,0.14155847,0.88936096,0.9901849,0.63509196,0.96480685,0.03855746,0.6848027,0.54543453
25.0,5,1.87,50,25.0,19.31450558,0.43894377,0.083603635,0.056787327,0.37872678,0.9982269,0.7586659,0.40856493,0.2591202,0.094972424,0.42416152,0.07442157,0.81530195,0.9864389,0.0023298187,0.93502516,0.00014293133,0.52316433,0.46331376
25.5,0,0.07,50,25.5,24.01821575,0.3043645,0.5106689,0.51328444,0.1441792,0.24273458,0.6925577,0.4878155,0.39443493,0.50279003,0.35703555,0.38575104,0.46522242,0.005641909,0.049000792,0.541327,0.21341826,0.28347716,0.2812967
25.5,1,0.29,50,25.5,23.32694447,0.053202398,0.26872492,0.3934672,0.1933661,0.98295236,0.0086757885,0.10040306,0.0642888,0.3017147,0.05280831,0.3030288,0.013545071,0.004192498,0.06994345,0.009870303,0.010612943,0.7277968,0.54859966
25.5,2,0.58,50,25.5,22.00896573,0.94483423,0.8938283,0.9091127,0.12177809,0.9989965,0.7678186,0.78520775,0.3682116,0.9259764,0.6782111,0.68113256,0.8981477,0.00084248174,0.10926207,0.6118183,0.011715691,0.9627886,0.96025264
25.5,3,0.94,50,25.5,21.10145941,0.9792513,0.92747164,0.9277002,0.12685089,0.99878883,0.96173984,0.85049325,0.74181986,0.94426525,0.9029059,0.5472331,0.986298,0.9844546,0.3719987,0.9574014,0.042230427,0.9430663,0.9455805
