Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Predicted_Acceptance_N28,User_3_Predicted_Acceptance_N28,User_5_Predicted_Acceptance_N28,User_6_Predicted_Acceptance_N28,User_7_Predicted_Acceptance_N28,User_9_Predicted_Acceptance_N28,User_12_Predicted_Acceptance_N28,User_13_Predicted_Acceptance_N28,User_14_Predicted_Acceptance_N28,User_16_Predicted_Acceptance_N28,User_17_Predicted_Acceptance_N28,User_18_Predicted_Acceptance_N28,User_19_Predicted_Acceptance_N28,User_20_Predicted_Acceptance_N28,User_23_Predicted_Acceptance_N28,User_24_Predicted_Acceptance_N28,User_25_Predicted_Acceptance_N28,User_26_Predicted_Acceptance_N28
27.0,4,1.37,50,27.0,22.09444723,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1
27.0,5,1.87,50,27.0,21.61614394,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1
27.5,0,0.07,50,27.5,26.08812818,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
27.5,1,0.29,50,27.5,25.34640368,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1
27.5,2,0.58,50,27.5,23.96673525,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1
27.5,3,0.94,50,27.5,23.14744484,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1
27.5,4,1.37,50,27.5,22.57656696,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1
27.5,5,1.87,50,27.5,22.14850264,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1
28.0,0,0.07,50,28.0,26.60971049,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28.0,1,0.29,50,28.0,25.85691342,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0
28.0,2,0.58,50,28.0,24.46093062,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1
28.0,3,0.94,50,28.0,23.63717371,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1
28.0,4,1.37,50,28.0,23.06578178,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1
28.0,5,1.87,50,28.0,22.63639023,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1
28.5,0,0.07,50,28.5,27.1328243,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28.5,1,0.29,50,28.5,26.36973027,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
28.5,2,0.58,50,28.5,24.95832753,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
28.5,3,0.94,50,28.5,24.12964744,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1
28.5,4,1.37,50,28.5,23.55832286,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1
28.5,5,1.87,50,28.5,23.13027654,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1
29.0,0,0.07,50,29.0,27.65747353,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
29.0,1,0.29,50,29.0,26.88486816,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
29.0,2,0.58,50,29.0,25.45906194,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
29.0,3,0.94,50,29.0,24.62575867,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
29.0,4,1.37,50,29.0,24.05391538,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1
29.0,5,1.87,50,29.0,23.62757438,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1
29.5,0,0.07,50,29.5,28.1836337,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
29.5,1,0.29,50,29.5,27.40233952,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
29.5,2,0.58,50,29.5,25.96299109,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
29.5,3,0.94,50,29.5,25.12550164,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
29.5,4,1.37,50,29.5,24.55322284,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1
29.5,5,1.87,50,29.5,24.12835628,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1
30.0,0,0.07,50,30.0,28.71126182,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
30.0,1,0.29,50,30.0,27.9221571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
30.0,2,0.58,50,30.0,26.47043557,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
30.0,3,0.94,50,30.0,25.62904358,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
30.0,4,1.37,50,30.0,25.05646889,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1
30.0,5,1.87,50,30.0,24.63294475,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1
