Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_TP_ctg_Prob,User_2_TP_ctg_Prob,User_4_TP_ctg_Prob,User_5_TP_ctg_Prob,User_6_TP_ctg_Prob,User_7_TP_ctg_Prob,User_9_TP_ctg_Prob,User_10_TP_ctg_Prob,User_12_TP_ctg_Prob,User_13_TP_ctg_Prob,User_14_TP_ctg_Prob,User_16_TP_ctg_Prob,User_17_TP_ctg_Prob,User_18_TP_ctg_Prob,User_19_TP_ctg_Prob,User_20_TP_ctg_Prob,User_21_TP_ctg_Prob,User_22_TP_ctg_Prob,User_23_TP_ctg_Prob,User_24_TP_ctg_Prob,User_25_TP_ctg_Prob,User_26_TP_ctg_Prob
22.5,4,1.37,50,22.5,16.81878355,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772,0.7098772
22.5,5,1.87,50,22.5,16.1795392,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357,0.3621357
23.0,0,0.07,50,23.0,21.45670594,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696,0.42674696
23.0,1,0.29,50,23.0,20.76121947,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999,0.5580999
23.0,2,0.58,50,23.0,19.2549547,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713,0.6682713
23.0,3,0.94,50,23.0,18.22183405,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867,0.6787867
23.0,4,1.37,50,23.0,17.44352089,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062,0.6653062
23.0,5,1.87,50,23.0,16.82709176,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907,0.37861907
23.5,0,0.07,50,23.5,21.97591213,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182,0.41878182
23.5,1,0.29,50,23.5,21.29224299,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878,0.627878
23.5,2,0.58,50,23.5,19.81868426,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515,0.7193515
23.5,3,0.94,50,23.5,18.81368418,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587,0.59197587
23.5,4,1.37,50,23.5,18.05962121,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104,0.59403104
23.5,5,1.87,50,23.5,17.46464671,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193,0.38544193
24.0,0,0.07,50,24.0,22.4844195,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742,0.39844742
24.0,1,0.29,50,24.0,21.81924277,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727,0.48420727
