Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_Acceptance,User_2_Acceptance,User_4_Acceptance,User_5_Acceptance,User_6_Acceptance,User_7_Acceptance,User_9_Acceptance,User_10_Acceptance,User_12_Acceptance,User_13_Acceptance,User_14_Acceptance,User_16_Acceptance,User_17_Acceptance,User_18_Acceptance,User_19_Acceptance,User_20_Acceptance,User_21_Acceptance,User_22_Acceptance,User_23_Acceptance,User_24_Acceptance,User_25_Acceptance,User_26_Acceptance
22.5,4,1.37,50,22.5,16.81878355,0.0007085355,0.029647535,0.013469181,0.78869945,0.34648967,0.4478968,0.5753954,0.0027015482,0.32848766,0.91113305,0.22476037,0.8551774,0.56910616,0.15702537,0.12927203,0.043566,0.15921865,0.48469055,0.093138196,0.37067685,0.17119817,0.459324
22.5,5,1.87,50,22.5,16.1795392,0.0014945475,0.031235972,0.013926339,0.7685999,0.30905327,0.43550757,0.63659555,0.003809245,0.3265948,0.9455653,0.15320854,0.8538208,0.55405796,0.22492903,0.14322309,0.06025812,0.14490879,0.45580006,0.096495666,0.37344006,0.17004536,0.43378797
23.0,0,0.07,50,23.0,21.45670594,0.13020581,0.42846334,0.30073342,0.41148973,0.40188718,0.3023676,0.39570487,0.36962497,0.35771394,0.08651415,0.31435335,0.42641214,0.4158812,0.33079836,0.34106407,0.30824572,0.4082917,0.3856193,0.46717858,0.49868557,0.40156615,0.5097287
23.0,1,0.29,50,23.0,20.76121947,0.9136804,0.9143207,0.7131955,0.66006804,0.78208375,0.67914873,0.8756787,0.9374549,0.5485454,0.7061474,0.6688177,0.9353263,0.71666807,0.54866177,0.8841092,0.9544101,0.79135203,0.7731927,0.5861544,0.761838,0.8508573,0.65090436
23.0,2,0.58,50,23.0,19.2549547,0.013047961,0.021754608,0.04666598,0.48346293,0.09936541,0.0616783,0.0088194115,0.008619841,0.01965945,0.01837075,0.19934666,0.39477298,0.1416129,0.018534705,0.022853376,0.06904308,0.024992475,0.077898264,0.022982806,0.06712144,0.03755517,0.10098204
23.0,3,0.94,50,23.0,18.22183405,0.00021030055,0.0072521395,0.010066191,0.7965584,0.26175827,0.352069,0.07286639,0.000958773,0.11083058,0.015253457,0.45797157,0.76326364,0.583802,0.0043852734,0.025731893,0.06189835,0.022026464,0.45839277,0.041281424,0.27875316,0.038906723,0.45159197
23.0,4,1.37,50,23.0,17.44352089,0.000607963,0.023574943,0.009450361,0.7801838,0.29930186,0.42168632,0.5388675,0.0021518841,0.32519087,0.9083376,0.21056718,0.8509553,0.5588011,0.08344257,0.11948865,0.03941454,0.14816447,0.45232213,0.08673968,0.36459693,0.15352434,0.45339122
23.0,5,1.87,50,23.0,16.82709176,0.0013825934,0.026728382,0.011854191,0.756313,0.27365932,0.4034408,0.60291487,0.0031386008,0.3162247,0.9461127,0.14251973,0.8448066,0.5421071,0.14814728,0.13186015,0.062232733,0.13460529,0.4393816,0.09041815,0.36575413,0.15561822,0.426928
23.5,0,0.07,50,23.5,21.97591213,0.2054456,0.44738618,0.25369206,0.3285612,0.30897647,0.29078802,0.36304513,0.35554317,0.4341474,0.13669515,0.37907442,0.38056412,0.41371,0.27396563,0.34556198,0.3377525,0.41106555,0.47268665,0.45043865,0.4917976,0.49042395,0.5206964
23.5,1,0.29,50,23.5,21.29224299,0.9910598,0.99559814,0.7211301,0.6643391,0.74678993,0.7047436,0.9925966,0.98906547,0.6899538,0.7720321,0.7354536,0.93707997,0.6702612,0.6181428,0.9875007,0.81597155,0.99000007,0.9919839,0.86183375,0.9922158,0.6716892,0.98828846
23.5,2,0.58,50,23.5,19.81868426,0.06983352,0.09117949,0.13526489,0.38550445,0.17014737,0.05346257,0.01086038,0.038661774,0.014710077,0.10521341,0.35845575,0.38955545,0.20081122,0.06247766,0.07980298,0.15511166,0.07718731,0.1389113,0.066177405,0.058804274,0.093029045,0.14427714
23.5,3,0.94,50,23.5,18.81368418,0.00037777578,0.0071804007,0.019343406,0.7777984,0.2500166,0.3007562,0.048608657,0.0014909101,0.09234079,0.008958336,0.43067464,0.733555,0.5486578,0.004865812,0.021822691,0.076220706,0.020174092,0.39736244,0.033541735,0.24315988,0.053677842,0.40116808
23.5,4,1.37,50,23.5,18.05962121,0.00059700414,0.018621953,0.007015478,0.7656222,0.2448257,0.3835276,0.48373064,0.0019239896,0.31780267,0.8979443,0.19548655,0.8449289,0.54406255,0.03609034,0.10755009,0.037773203,0.13328308,0.4231577,0.0799358,0.3555317,0.13138586,0.43414655
23.5,5,1.87,50,23.5,17.46464671,0.0014034641,0.02275903,0.010160383,0.7394047,0.23916574,0.36628154,0.55003816,0.0027948143,0.3037944,0.9447887,0.13181522,0.8309274,0.5273667,0.07766649,0.12045611,0.065724455,0.12404957,0.4214207,0.083999395,0.35716626,0.1394555,0.4173762
