Indoor Temp,FanMode,Air Velocity,Indoor Humidity,SET*,9,User_2_Acceptance,User_3_Acceptance,User_5_Acceptance,User_6_Acceptance,User_7_Acceptance,User_9_Acceptance,User_12_Acceptance,User_13_Acceptance,User_14_Acceptance,User_16_Acceptance,User_17_Acceptance,User_18_Acceptance,User_19_Acceptance,User_20_Acceptance,User_23_Acceptance,User_24_Acceptance,User_25_Acceptance,User_26_Acceptance
24.0,3,0.94,50,19.3980531350001,0.630812471181446,0.4159474,0.4159474,0.4159474,0.4159474,0.4159474,0.4159474,0.4159474,0.4159474,0.4159474,0.4159474,0.4159474,0.4159474,0.4159474,0.4159474,0.4159474,0.4159474,0.4159474,0.4159474
24.0,4,1.37,50,18.6669056622467,0.315872957607298,0.0939608,0.0939608,0.0939608,0.0939608,0.0939608,0.0939608,0.0939608,0.0939608,0.0939608,0.0939608,0.0939608,0.0939608,0.0939608,0.0939608,0.0939608,0.0939608,0.0939608,0.0939608
24.0,5,1.87,50,18.0918981775217,0.146725609815604,0.072253026,0.072253026,0.072253026,0.072253026,0.072253026,0.072253026,0.072253026,0.072253026,0.072253026,0.072253026,0.072253026,0.072253026,0.072253026,0.072253026,0.072253026,0.072253026,0.072253026,0.072253026
24.5,0,0.07,50,22.9939457032126,0.53684933434271,0.7121919,0.7121919,0.7121919,0.7121919,0.7121919,0.7121919,0.7121919,0.7121919,0.7121919,0.7121919,0.7121919,0.7121919,0.7121919,0.7121919,0.7121919,0.7121919,0.7121919,0.7121919
24.5,1,0.29,50,22.330878371875,0.739871312070598,0.9908657,0.9908657,0.9908657,0.9908657,0.9908657,0.9908657,0.9908657,0.9908657,0.9908657,0.9908657,0.9908657,0.9908657,0.9908657,0.9908657,0.9908657,0.9908657,0.9908657,0.9908657
24.5,2,0.58,50,20.9280991822253,0.752197699937232,0.7563537,0.7563537,0.7563537,0.7563537,0.7563537,0.7563537,0.7563537,0.7563537,0.7563537,0.7563537,0.7563537,0.7563537,0.7563537,0.7563537,0.7563537,0.7563537,0.7563537,0.7563537
24.5,3,0.94,50,19.9745033460314,0.750250018219918,0.66555005,0.66555005,0.66555005,0.66555005,0.66555005,0.66555005,0.66555005,0.66555005,0.66555005,0.66555005,0.66555005,0.66555005,0.66555005,0.66555005,0.66555005,0.66555005,0.66555005,0.66555005
24.5,4,1.37,50,19.2649309354768,0.606151470542232,0.09644938,0.09644938,0.09644938,0.09644938,0.09644938,0.09644938,0.09644938,0.09644938,0.09644938,0.09644938,0.09644938,0.09644938,0.09644938,0.09644938,0.09644938,0.09644938,0.09644938,0.09644938
24.5,5,1.87,50,18.7087240217549,0.286095669458287,0.061505184,0.061505184,0.061505184,0.061505184,0.061505184,0.061505184,0.061505184,0.061505184,0.061505184,0.061505184,0.061505184,0.061505184,0.061505184,0.061505184,0.061505184,0.061505184,0.061505184,0.061505184
25.0,0,0.07,50,23.5050276104742,0.493944193429265,0.52401406,0.52401406,0.52401406,0.52401406,0.52401406,0.52401406,0.52401406,0.52401406,0.52401406,0.52401406,0.52401406,0.52401406,0.52401406,0.52401406,0.52401406,0.52401406,0.52401406,0.52401406
