Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance_N18,User_3_Acceptance_N18,User_5_Acceptance_N18,User_6_Acceptance_N18,User_7_Acceptance_N18,User_9_Acceptance_N18,User_12_Acceptance_N18,User_13_Acceptance_N18,User_14_Acceptance_N18,User_16_Acceptance_N18,User_17_Acceptance_N18,User_18_Acceptance_N18,User_19_Acceptance_N18,User_20_Acceptance_N18,User_23_Acceptance_N18,User_24_Acceptance_N18,User_25_Acceptance_N18,User_26_Acceptance_N18
23.5,4,1.37,50,23.5,18.05962121,0.13204448,0.05523379,0.00026575656,0.436119,0.49590936,0.22803189,0.00091668265,0.0028222653,0.07421168,0.09895227,0.17166433,0.36905456,0.68766254,2.2901808e-05,0.99257123,0.8372584,0.47762284,0.000100115634
23.5,5,1.87,50,23.5,17.46464671,0.15648408,0.06981681,0.0002623894,0.016562302,0.57957023,0.009962469,0.0022536865,0.0026537967,0.18779474,0.24366578,0.059039425,0.107379414,0.66682273,2.3800421e-05,0.49330986,0.03538102,0.36943364,2.6450707e-05
24.0,0,0.07,50,24.0,22.4844195,0.9919343,0.99975145,0.8057927,0.00017330948,0.9993276,0.9997921,0.9997797,0.9994971,0.9656839,0.97846216,0.9999997,0.9897228,0.10525568,0.008557351,0.9992838,0.0006769635,0.98968583,0.78675884
24.0,1,0.29,50,24.0,21.81924277,0.99998206,0.99931234,0.70110595,0.0006811568,0.999173,0.9996531,0.99997884,0.99900776,0.99050224,0.97061825,0.99999875,0.99970436,0.4522035,0.02239764,0.9984374,0.0016833079,0.99984145,0.27598473
24.0,2,0.58,50,24.0,20.37657244,0.9066555,0.6926558,0.4596823,0.8290783,0.81518495,0.998398,0.99974155,0.97120774,0.94746536,0.5374522,0.95653504,0.9997785,0.98869157,0.0007195316,0.99962574,0.0007932056,0.9825,0.33386463
24.0,3,0.94,50,24.0,19.39805314,0.29940575,0.029039359,0.009354535,0.7089918,0.99574524,0.78689843,0.80640095,0.43685552,0.17419992,0.36108735,0.99661905,0.9976486,0.9481851,4.064431e-05,0.9996304,0.99182796,0.87911487,0.12596926
24.0,4,1.37,50,24.0,18.66690566,0.19825703,0.15774886,0.00037025884,0.66794986,0.54953516,0.6305156,0.0017327996,0.0041508693,0.10861817,0.13923876,0.992487,0.46964818,0.6912019,2.445141e-05,0.997726,0.8869045,0.5693692,0.000107030035
24.0,5,1.87,50,24.0,18.09189818,0.19739148,0.14377776,0.00030642416,0.020653062,0.57631993,0.013067697,0.0032598472,0.003007743,0.21996516,0.30516735,0.19030306,0.17140272,0.6676963,2.4602674e-05,0.49407697,0.035453267,0.38855124,2.5403824e-05
24.5,0,0.07,50,24.5,22.9939457,0.9898274,0.99976707,0.777656,0.00023027015,0.9986801,0.9954218,0.999686,0.999284,0.9637323,0.85530967,0.9998684,0.9948771,0.08998445,0.011325995,0.9995337,0.0008145956,0.9909042,0.8560334
24.5,1,0.29,50,24.5,22.33087837,0.99997026,0.9994783,0.75171864,0.00088248483,0.99943674,0.99936444,0.9999452,0.99862117,0.9895897,0.96663344,0.99998206,0.9997673,0.27661484,0.018230228,0.999356,0.00096433994,0.99985266,0.6808488
24.5,2,0.58,50,24.5,20.92809918,0.99442303,0.88611996,0.60307056,0.48027977,0.9713566,0.998572,0.99970114,0.9881254,0.955036,0.5646811,0.983457,0.99979925,0.9871626,0.0014669709,0.9996697,0.0006638561,0.9854866,0.6427921
24.5,3,0.94,50,24.5,19.97450335,0.91660726,0.11483133,0.020916525,0.82881624,0.9959321,0.89401263,0.82894146,0.6589569,0.41151237,0.6245342,0.99867547,0.9971914,0.9339358,5.013951e-05,0.999694,0.9916878,0.9296184,0.19175437
24.5,4,1.37,50,24.5,19.26493094,0.39891034,0.33272323,0.00062141893,0.7125662,0.60457027,0.7621462,0.0044797296,0.0073954524,0.18473977,0.21987472,0.9985986,0.49622875,0.69638085,2.637552e-05,0.9995217,0.92103827,0.65384614,0.00012003204
24.5,5,1.87,50,24.5,18.70872402,0.29459262,0.26712024,0.0003892438,0.02626602,0.5718904,0.020394543,0.005280432,0.003587674,0.26567,0.34013006,0.4467705,0.35356435,0.6686598,2.5640398e-05,0.4957943,0.03575227,0.41548562,2.498781e-05
25.0,0,0.07,50,25.0,23.50502761,0.9852342,0.99971914,0.7118377,0.0003242157,0.9947852,0.32121286,0.9995269,0.9987756,0.93680876,0.5279447,0.26873142,0.9973449,0.09223324,0.022504123,0.9996735,0.0011529576,0.9932086,0.80404764
25.0,1,0.29,50,25.0,22.82771733,0.999927,0.9995418,0.7785713,0.0013010808,0.9995478,0.9954634,0.9998307,0.9979945,0.98677856,0.9596892,0.94784695,0.99980783,0.17174736,0.017473172,0.9998524,0.0009565262,0.9998448,0.8393336
25.0,2,0.58,50,25.0,21.472584,0.9999359,0.91724104,0.6744087,0.06456644,0.9920242,0.99865407,0.99923885,0.9925097,0.96153444,0.59066856,0.9855058,0.999805,0.97167987,0.0031699876,0.9997331,0.00061830017,0.98793745,0.8081328
