"ta","mode","oc1","oc2","oc3","oc4","oc5","oc6","oc7","oc8","oc9","oc10","oc11","oc12","oc13","oc14","oc15","oc16"
24.3,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
24.4,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
24.4,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
24.4,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
24.4,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0
24.4,4,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0
24.4,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
24.5,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
24.5,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
24.5,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
24.5,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0
24.5,4,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0
24.5,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
24.6,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
24.6,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
24.6,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
24.6,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0
24.6,4,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0
24.6,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
24.7,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
24.7,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
24.7,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
24.7,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0
24.7,4,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0
24.7,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
24.8,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
24.8,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1
24.8,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
24.8,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0
24.8,4,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0
24.8,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
24.9,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
24.9,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1
24.9,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
24.9,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
24.9,4,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0
24.9,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
25,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
25,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1
25,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
25,3,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
25,4,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0
25,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
25.1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0
25.1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1
25.1,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
25.1,3,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
25.1,4,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0
25.1,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
25.2,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0
25.2,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1
25.2,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
25.2,3,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
25.2,4,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0
25.2,5,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
25.3,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0
25.3,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
25.3,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
25.3,3,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
25.3,4,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0
25.3,5,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
25.4,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
25.4,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
25.4,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
25.4,3,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
25.4,4,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0
25.4,5,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
25.5,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
25.5,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
25.5,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
25.5,3,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
25.5,4,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0
25.5,5,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
25.6,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
25.6,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
25.6,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
25.6,3,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
25.6,4,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0
25.6,5,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
25.7,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
25.7,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0
25.7,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
25.7,3,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
25.7,4,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1
25.7,5,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
25.8,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
25.8,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0
25.8,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
25.8,3,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
25.8,4,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1
25.8,5,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
25.9,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0
25.9,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
25.9,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
25.9,3,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
25.9,4,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1
25.9,5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
26,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
26,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
26,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
26,3,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
26,4,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1
26,5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
26.1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
26.1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
26.1,2,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
26.1,3,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
26.1,4,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1
26.1,5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
26.2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
26.2,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
26.2,2,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1
26.2,3,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
26.2,4,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1
26.2,5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
26.3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
26.3,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0
26.3,2,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
26.3,3,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
26.3,4,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1
26.3,5,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
26.4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
26.4,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
26.4,2,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1
26.4,3,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
26.4,4,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1
26.4,5,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1
26.5,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
26.5,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
26.5,2,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0
26.5,3,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
26.5,4,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1
26.5,5,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
26.6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
