Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_1_Acceptance_N6,User_2_Acceptance_N6,User_4_Acceptance_N6,User_5_Acceptance_N6,User_6_Acceptance_N6,User_7_Acceptance_N6,User_9_Acceptance_N6,User_10_Acceptance_N6,User_12_Acceptance_N6,User_13_Acceptance_N6,User_14_Acceptance_N6,User_16_Acceptance_N6,User_17_Acceptance_N6,User_18_Acceptance_N6,User_19_Acceptance_N6,User_20_Acceptance_N6,User_21_Acceptance_N6,User_22_Acceptance_N6,User_23_Acceptance_N6,User_24_Acceptance_N6,User_25_Acceptance_N6,User_26_Acceptance_N6
23.0,2,0.58,50,23.0,19.2549547,0.42696,0.19870967,0.00075749325,0.16619916,0.18544301,0.21140762,0.047270905,0.0845344,0.039805803,0.20596936,0.018249525,0.70014834,0.012308536,0.09936428,0.009290134,0.21751784,0.10704778,0.093591556,0.07087853,0.12833852,0.057037737,0.093591556
23.0,3,0.94,50,23.0,18.22183405,0.7156464,0.20669344,0.00034829,0.16670021,0.20180853,0.22781232,0.07773437,0.046522085,0.05281133,0.23211978,0.039519783,0.9398187,0.008746322,0.07167431,0.007762056,0.24499555,0.025817744,0.08208223,0.15977456,0.21809174,0.028520875,0.08208223
23.0,4,1.37,50,23.0,17.44352089,0.20604645,0.117326036,0.0032305294,0.09779379,0.11670694,0.09117188,0.044057738,0.07338291,0.09028064,0.11368229,0.09242988,0.34410855,0.03711729,0.017880213,0.042300962,0.11738872,0.04662786,0.09732139,0.0737199,0.10726916,0.070978105,0.09732139
23.0,5,1.87,50,23.0,16.82709176,0.08520055,0.10690183,0.006824478,0.112935014,0.10614794,0.10458931,0.028233763,0.085286744,0.09860375,0.10252631,0.106430665,0.39456427,0.07428343,0.013977553,0.08733682,0.10442996,0.059425283,0.10908418,0.05386064,0.11249447,0.08366365,0.10908418
23.5,0,0.07,50,23.5,21.97591213,0.17895924,0.22673935,0.08870563,0.35918683,0.21261038,0.18596582,0.26768848,0.18882252,0.4268976,0.21146014,0.30124587,0.23042034,0.11128011,0.5972226,0.1829539,0.2498551,0.31807104,0.41573218,0.30178875,0.17279778,0.19659501,0.41573218
23.5,1,0.29,50,23.5,21.29224299,0.9957487,0.9975726,0.5831734,0.9983051,0.996632,0.99715096,0.9938044,0.99686444,0.99883467,0.9975621,0.9980423,0.98530984,0.96659356,0.9970858,0.9896139,0.9977399,0.99856997,0.99883145,0.9957501,0.9956345,0.99526525,0.99883145
23.5,2,0.58,50,23.5,19.81868426,0.6629559,0.4979871,0.002918653,0.33495817,0.4900549,0.46779463,0.11393889,0.23561904,0.123616055,0.5115258,0.06020914,0.5770043,0.065283075,0.21717045,0.03491237,0.51588666,0.2884659,0.23884326,0.1828579,0.33148223,0.18602411,0.23884326
23.5,3,0.94,50,23.5,18.81368418,0.9129678,0.35851294,0.00025517622,0.25631234,0.36916584,0.23046035,0.105821155,0.066323295,0.052286047,0.33817074,0.0350038,0.95994306,0.010802912,0.11410653,0.008551503,0.3013352,0.022995453,0.10523239,0.16999535,0.26670137,0.03624055,0.10523239
23.5,4,1.37,50,23.5,18.05962121,0.2562453,0.10748528,0.0019462439,0.07546448,0.10865073,0.072718956,0.035073876,0.058653962,0.07573789,0.100799285,0.07915398,0.36004418,0.025977576,0.0099157905,0.030103961,0.09982251,0.03790513,0.07673565,0.059770364,0.07960841,0.05853686,0.07673565
23.5,5,1.87,50,23.5,17.46464671,0.08558709,0.08422515,0.0055798856,0.099606045,0.08341725,0.0890776,0.025004849,0.0773736,0.08989569,0.0816331,0.09869605,0.47297478,0.066236705,0.011147203,0.078397185,0.0835535,0.05364205,0.09602221,0.04793309,0.097266905,0.074909255,0.09602221
24.0,0,0.07,50,24.0,22.4844195,0.23542869,0.23284207,0.1462315,0.43765885,0.21141146,0.20154722,0.27319407,0.2073306,0.42789355,0.20983751,0.34270367,0.30028662,0.18158746,0.6360602,0.2254124,0.2736875,0.34880176,0.44245428,0.28789276,0.18157463,0.22575387,0.44245428
24.0,1,0.29,50,24.0,21.81924277,0.99235475,0.9974407,0.62842673,0.9968972,0.9967967,0.9957275,0.99519545,0.9962729,0.99852186,0.9973687,0.99780726,0.96603066,0.9686048,0.99742156,0.9935353,0.9972731,0.99683756,0.9983084,0.9962837,0.9965998,0.99358845,0.9983084
24.0,2,0.58,50,24.0,20.37657244,0.6329136,0.72642034,0.014747821,0.5629958,0.73399675,0.65584064,0.32354176,0.52861136,0.2769586,0.7216484,0.17002082,0.46270937,0.19275789,0.48231956,0.10786733,0.7374054,0.5134863,0.43715608,0.49695954,0.68424106,0.35199967,0.43715608
24.0,3,0.94,50,24.0,19.39805314,0.95177525,0.7313619,0.00027170195,0.31659034,0.7559462,0.27930158,0.11721926,0.1370367,0.057865385,0.65960056,0.03500216,0.9667783,0.019334074,0.16790089,0.013962418,0.56663996,0.027952833,0.17810449,0.17404152,0.26619762,0.06675412,0.17810449
24.0,4,1.37,50,24.0,18.66690566,0.30032256,0.13036743,0.0010917614,0.056840684,0.13587417,0.059750352,0.022581914,0.045030754,0.060863927,0.11412008,0.065441795,0.3577477,0.016607713,0.0064649056,0.019399246,0.09923544,0.030815676,0.059488162,0.0439477,0.061636887,0.045441605,0.059488162
24.0,5,1.87,50,24.0,18.09189818,0.093031056,0.06755789,0.0043341783,0.08734171,0.066832766,0.07434889,0.021739962,0.06948475,0.08133902,0.06597575,0.09049664,0.5476394,0.057836704,0.008394076,0.06925438,0.06723038,0.047931377,0.08575151,0.041817233,0.085366115,0.06651291,0.08575151
24.5,0,0.07,50,24.5,22.9939457,0.33216333,0.29255718,0.1964721,0.46137306,0.25831455,0.2501926,0.2748662,0.2688277,0.2473744,0.27297506,0.4023837,0.4804893,0.20688148,0.19905521,0.31507635,0.34425282,0.42216223,0.2909866,0.15741138,0.2370501,0.2915071,0.2909866
