Indoor Temp,FanMode,Air Velocity,Indoor Humidity,Globe Temperature,SET*,User_2_Acceptance,User_3_Acceptance,User_5_Acceptance,User_6_Acceptance,User_7_Acceptance,User_9_Acceptance,User_12_Acceptance,User_13_Acceptance,User_14_Acceptance,User_16_Acceptance,User_17_Acceptance,User_18_Acceptance,User_19_Acceptance,User_20_Acceptance,User_23_Acceptance,User_24_Acceptance,User_25_Acceptance,User_26_Acceptance
24.5,2,0.58,50,24.5,20.92809918,0.99834526,0.9814099,6.474987e-06,0.7569838,0.99800766,0.98692816,0.99957424,0.98927325,0.85679436,0.86803186,0.7239149,0.9926619,0.8851023,0.0057181967,0.9997176,0.0069552865,0.9993488,0.88214904
24.5,3,0.94,50,24.5,19.97450335,0.8600866,0.8947863,1.40045395e-05,0.8078621,0.996644,0.99788314,0.99868596,0.99494493,0.0046936143,0.80444777,0.63395596,0.9927869,0.98466885,0.00076865073,0.9997978,0.76858175,0.999536,0.00029045646
24.5,4,1.37,50,24.5,19.26493094,0.93881255,0.33024567,0.00012441634,0.5805899,0.7910321,0.44870248,0.24996665,0.9660248,0.026058257,0.40395314,0.18484508,0.950901,0.98891526,4.4598615e-05,0.99801016,0.53503174,0.99625546,0.009805723
24.5,5,1.87,50,24.5,18.70872402,0.017517386,0.40914395,0.0003883063,0.41540962,0.8588071,0.9075255,0.0018884175,0.9118824,0.12099426,0.42361358,0.07031269,0.3149264,0.9880546,5.427161e-05,0.9465839,0.025423978,0.66955125,0.0417022
25.0,0,0.07,50,25.0,23.50502761,0.97670895,0.93880844,0.9798205,0.015263013,0.96818787,0.13190754,0.133029,0.9539793,0.9782764,0.1472382,0.24270669,0.98694205,0.17704289,0.0004903476,0.9951646,0.23974863,0.99719983,0.92979294
25.0,1,0.29,50,25.0,22.82771733,0.99819916,0.9956029,0.9992079,0.00087581266,0.99480486,0.976541,0.9987042,0.99988276,0.9995859,0.5769895,0.1882285,0.99923456,0.1984213,0.06524477,0.7866599,0.95495695,0.9999996,0.9999154
25.0,2,0.58,50,25.0,21.472584,0.9985628,0.98795974,1.706734e-05,0.07888405,0.99798113,0.99655807,0.9995716,0.9934384,0.95308447,0.86486936,0.7358298,0.99353445,0.86527455,0.0128016025,0.99973965,0.018495046,0.9992955,0.98661965
25.0,3,0.94,50,25.0,20.54250534,0.98246115,0.93583786,7.280086e-05,0.8128477,0.99667406,0.998239,0.99931616,0.99521065,0.031838465,0.8564388,0.9148083,0.99564,0.9772573,0.009961802,0.9998276,0.7812611,0.99957234,0.0006186074
25.0,4,1.37,50,25.0,19.85306467,0.978532,0.78077996,0.00019816305,0.5966844,0.91868925,0.9212243,0.9336348,0.9876976,0.070600666,0.52980787,0.91276234,0.98525316,0.9858222,7.231265e-05,0.99886477,0.6035706,0.9979633,0.017477134
25.0,5,1.87,50,25.0,19.31450558,0.10170929,0.729478,0.00047373507,0.4543115,0.9413662,0.98863757,0.002903982,0.96967334,0.18171336,0.49032754,0.18286712,0.41567597,0.98565346,6.613515e-05,0.99121577,0.026175227,0.8876647,0.04891935
25.5,0,0.07,50,25.5,24.01821575,0.94623095,0.91536766,0.9707973,0.0077235317,0.9679387,0.008471578,0.014015751,0.111509524,0.9723163,0.12020496,0.24660511,0.98858404,0.21557906,0.00037087934,0.9945494,0.2870462,0.9973362,0.83757985
25.5,1,0.29,50,25.5,23.32694447,0.8948406,0.5786322,0.9999339,0.0011325825,0.9532868,0.119353645,0.7640183,0.9992981,0.98983896,0.19631624,0.02100212,0.99713814,0.12040787,0.021254107,0.89562875,0.8932916,0.99999756,0.99973226
25.5,2,0.58,50,25.5,22.00896573,0.9986836,0.98995554,0.00030458163,0.0073571834,0.9979038,0.9969266,0.99953645,0.9934957,0.9617216,0.82208437,0.87071747,0.99405676,0.80829865,0.011587635,0.999774,0.064982206,0.9992876,0.9938473
25.5,3,0.94,50,25.5,21.10145941,0.99486333,0.94771504,0.0006090652,0.7378984,0.99655336,0.99832374,0.9994136,0.9951823,0.42476103,0.87876576,0.94012386,0.9968637,0.96223575,0.16049913,0.9998424,0.7875657,0.9996049,0.0022634421
25.5,4,1.37,50,25.5,20.43102963,0.9859408,0.9019611,0.00034880172,0.55899537,0.96046704,0.9913332,0.99750274,0.991517,0.4513095,0.65500355,0.9600073,0.9931344,0.98071027,0.00012597666,0.99924767,0.64423764,0.9987313,0.029491317
25.5,5,1.87,50,25.5,19.90867457,0.78363734,0.87052035,0.0006895047,0.48328063,0.96231717,0.9955811,0.025703395,0.98140144,0.3722209,0.56105703,0.85170996,0.63758904,0.9820802,8.199349e-05,0.9965226,0.026634747,0.9676309,0.07638789
26.0,0,0.07,50,26.0,24.53324108,0.90967685,0.90053797,0.8164594,0.00673771,0.97306204,0.0056942753,0.0091480715,0.06513163,0.9487978,0.12934749,0.2517947,0.98389655,0.26092046,0.00034767346,0.99275625,0.29288048,0.9952309,0.72589886
26.0,1,0.29,50,26.0,23.82854459,0.6705439,0.036203016,0.9987041,0.0015709703,0.9415575,0.0022902098,0.03799639,0.8921029,0.86532694,0.031204263,0.0071596024,0.9925076,0.12241344,0.013586706,0.9302748,0.14505316,0.999209,0.9972035
26.0,2,0.58,50,26.0,22.50092064,0.99879885,0.99002534,0.95981926,0.0023487504,0.9977662,0.9966195,0.99948007,0.9923286,0.97638166,0.6974552,0.7673828,0.9944199,0.37776822,0.008560322,0.9998083,0.17999335,0.9993438,0.9957684
26.0,3,0.94,50,26.0,21.65035065,0.99757314,0.95960945,0.039930437,0.24345139,0.9962759,0.9982433,0.9992695,0.99435824,0.90289104,0.88348675,0.9278356,0.9975696,0.91912144,0.49048096,0.9998467,0.77010643,0.9996298,0.04338133
26.0,4,1.37,50,26.0,20.99786431,0.9916715,0.9351135,0.0011875875,0.3237901,0.9771394,0.9963403,0.9991096,0.99293363,0.88037515,0.7618735,0.9656613,0.9957979,0.97040886,0.0002676351,0.9994339,0.65399146,0.9990959,0.19303893
26.0,5,1.87,50,26.0,20.49091151,0.9747647,0.910014,0.0013347282,0.48683468,0.9715095,0.9966256,0.7155987,0.9857724,0.7203965,0.6145691,0.94946295,0.8723266,0.9759369,0.000103725644,0.9981019,0.026632208,0.9894387,0.21495193
26.5,0,0.07,50,26.5,25.04991076,0.34236956,0.8258406,0.019490764,0.007367227,0.96856725,0.005403621,0.005735721,0.058567733,0.8338999,0.117395416,0.17880511,0.9812853,0.21026796,0.0003959232,0.9907522,0.22563519,0.9885223,0.6792936
26.5,1,0.29,50,26.5,24.33221479,0.763383,0.0140315965,0.5179778,0.0018146244,0.9651114,0.0007384374,0.012878016,0.19696498,0.9225736,0.046305228,0.008524613,0.9901258,0.18245924,0.016959213,0.9715213,0.024884112,0.997084,0.8823162
26.5,2,0.58,50,26.5,22.98664822,0.998934,0.9892598,0.9918251,0.0017255833,0.99748755,0.99055463,0.9992964,0.9877571,0.97930735,0.4046414,0.21243653,0.99517643,0.104841754,0.007953025,0.99982953,0.21415469,0.99945295,0.99673766
