Tair,FanMode,Velocity,Humidity,Globe Temperature,SET*,2,3,5,6,7,9,12,13,14,16,17,18,19,20,23,24,25,26
28.5,3,0.94,50,28.5,24.12964744,0.762771089,0.901400943,0.603508847,0.190124307,0.921396016,0.376376151,0.554159769,0.41968175,0.785958463,0.369798425,0.277351491,0.747451435,0.025221845,0.425271762,0.811446504,0.376439741,0.797523031,0.815037344
28.5,4,1.37,50,28.5,23.55832286,0.875587089,0.925902017,0.655782528,0.232277807,0.938271424,0.478631696,0.66803632,0.52822258,0.819778353,0.477008817,0.407882969,0.786257775,0.068286871,0.436199752,0.839403467,0.411426379,0.849052173,0.829751944
28.5,5,1.87,50,28.5,23.13027654,0.925686841,0.925642613,0.669192601,0.267815462,0.938571235,0.555627059,0.706234265,0.605726262,0.830351059,0.556292446,0.510112705,0.8112978,0.136845554,0.438976204,0.855403175,0.434039469,0.872685666,0.821073076
29,0,0.07,50,29,27.65747353,0.023997191,0.10988607,0.169284136,0.046626298,0.124767579,0.042182668,0.007700009,0.043712033,0.312442658,0.034793469,0.00882828,0.423884874,4.02E-05,0.193053363,0.507859331,0.145774876,0.182098866,0.212474289
29,1,0.29,50,29,26.88486816,0.066734994,0.250412108,0.242588992,0.06450988,0.290126524,0.072507638,0.024413649,0.077321644,0.423660045,0.062354854,0.019973237,0.499860472,0.000165802,0.254552449,0.587663641,0.188502243,0.29959995,0.351683988
29,2,0.58,50,29,25.45906194,0.338982863,0.674165177,0.423764039,0.1150467,0.734454528,0.183927095,0.17532258,0.204040001,0.638465421,0.170669248,0.085722364,0.637364742,0.002260607,0.363639283,0.719675696,0.283638015,0.58481773,0.653123661
29,3,0.94,50,29,24.62575867,0.618544328,0.848997672,0.540904505,0.158464786,0.882531978,0.294868055,0.407050675,0.329701166,0.740803486,0.28446001,0.185483373,0.709296359,0.010328421,0.40826704,0.781379428,0.342871697,0.732557853,0.775682752
29,4,1.37,50,29,24.05391538,0.781127891,0.906595007,0.611981856,0.195359321,0.925052512,0.389573641,0.573436885,0.433991214,0.791623874,0.383666725,0.293427517,0.75292529,0.028857446,0.427236257,0.815571233,0.381340591,0.80576256,0.818819223
29,5,1.87,50,29,23.62757438,0.864949718,0.924582472,0.651153771,0.226842502,0.937377297,0.466037397,0.658235108,0.515166937,0.816820347,0.463870177,0.391240747,0.781869356,0.060708382,0.435336972,0.83640887,0.407453233,0.844075794,0.829621365
29.5,0,0.07,50,29.5,28.1836337,0.011744395,0.058958365,0.130252054,0.037260999,0.064994117,0.028931641,0.003481258,0.029362352,0.246612106,0.023203539,0.00504305,0.373911978,1.53E-05,0.155383061,0.452893886,0.121023687,0.124815418,0.143364265
29.5,1,0.29,50,29.5,27.40233952,0.033797385,0.146405347,0.191334,0.05193748,0.167988586,0.050539234,0.011295971,0.052886476,0.347564194,0.042262098,0.011571494,0.4487576,6.42E-05,0.212770265,0.534494319,0.159055693,0.216467901,0.253712701
29.5,2,0.58,50,29.5,25.96299109,0.203569276,0.521886868,0.354353487,0.094124234,0.587190118,0.134222842,0.091342604,0.147262736,0.565202599,0.121320524,0.051859004,0.590164581,0.000898466,0.328242632,0.676274708,0.24825248,0.481299316,0.551458011
29.5,3,0.94,50,29.5,25.12550164,0.448444345,0.757876949,0.471108606,0.131030532,0.8084397,0.224017912,0.256514105,0.249733947,0.682840049,0.211321035,0.118057959,0.667206299,0.004159019,0.383817392,0.745975535,0.307474198,0.64886072,0.710208732
29.5,4,1.37,50,29.5,24.55322284,0.641880958,0.85884686,0.550642468,0.162812147,0.890077789,0.306160131,0.4298924,0.342314492,0.748231315,0.296228323,0.197362695,0.715113431,0.011778684,0.411207316,0.786099256,0.347910049,0.743237515,0.783038976
29.5,5,1.87,50,29.5,24.12835628,0.76309288,0.901495108,0.603656339,0.190212657,0.921462674,0.376599792,0.554497925,0.419924899,0.786057916,0.370033398,0.277621466,0.747545568,0.025279935,0.425306628,0.811517878,0.376523878,0.797667218,0.815106664
30,0,0.07,50,30,28.71126182,0.005699675,0.030758114,0.09906713,0.029699339,0.032713777,0.019736217,0.001566517,0.019604428,0.190638069,0.015394931,0.002871525,0.32636115,5.82E-06,0.122583656,0.398853183,0.099691313,0.083594002,0.093887607
30,1,0.29,50,30,27.9221571,0.016769817,0.080684338,0.148595995,0.04166437,0.090356268,0.03491684,0.005167218,0.035808835,0.278138047,0.028395637,0.006662847,0.398482569,2.47E-05,0.173540149,0.480158365,0.132880838,0.151072873,0.175056952
30,2,0.58,50,30,26.47043557,0.112514866,0.362820005,0.28983698,0.076565793,0.417817578,0.096129994,0.044737925,0.103938628,0.487344625,0.084549867,0.030790443,0.540828226,0.000354477,0.28843442,0.628733116,0.214340536,0.377527779,0.440194434
30,3,0.94,50,30,25.62904358,0.288496073,0.6254285,0.399929601,0.107572185,0.689031828,0.165735319,0.141933837,0.183257199,0.614454457,0.152455157,0.072512773,0.621698443,0.001656248,0.352296164,0.70550667,0.271573979,0.550465711,0.620558235
30,4,1.37,50,30,25.05646889,0.472133149,0.772959427,0.480911995,0.134565166,0.821195181,0.233046839,0.275706578,0.259990809,0.691501121,0.220560132,0.125937281,0.673217867,0.004717432,0.387621346,0.7511586,0.312407589,0.661392149,0.720750912
30,5,1.87,50,30,24.63294475,0.616200076,0.847977616,0.539931916,0.158039254,0.881744752,0.293762401,0.404782695,0.328463903,0.740053088,0.283309043,0.184336144,0.708715818,0.010194731,0.407967243,0.780905922,0.342370654,0.73147833,0.774923915
